ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
43274789174931472,43274789138231323,41524144274399237,42474577542111247,41705998786510854,二氧化硫,Sulfur dioxide,排放到空气/低人口密度，长期,基本流,kg
43274789174931474,43274789138231323,41524144274399237,42474577542111247,41705998786510855,二氧化硫,Sulfur dioxide,排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
43274789174931476,43274789138231323,41524144274399237,42474577542111247,41705998786510856,二氧化硫,Sulfur dioxide,排放到空气/城市近地空气,基本流,kg
43273247282982923,43273247234224133,41524144274399237,42162675838623750,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982922,43273247233962001,41524144274399237,42614633777717263,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982921,43273247233962000,41524144274399237,42555803949719558,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982920,43273247233961999,41524144274399237,42555793429618693,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982919,43273247233961998,41524144274399237,42555756467744774,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982918,43273247233961997,41524144274399237,42474577609220114,41705996354076677,危险废物处置,Hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282982917,43273247233961996,41524144274399237,42474577609220112,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720785,43273247233961995,41524144274399237,42474577609220110,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720784,43273247233961994,41524144274399237,42474577543421969,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720783,43273247233961993,41524144274399237,42474577543421967,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
43273247282720782,43273247233961992,41524144274399237,42474577543421966,41705996354338824,非危险废物处置,Non-hazardous waste disposed,清单指标/废弃物,特殊资源指标,kg
